gene	VascAge_AA67-L10	VascAge_AA67-L19	VascAge_AA67-L20	VascAge_AA67-L21	VascAge_AA67-L22	VascAge_AA67-L7	VascAge_AA67-L8	VascAge_AA67-L9
ENSMUSG00000102693.1	0	0	0	0	0	0	0	0
ENSMUSG00000064842.1	0	0	0	0	0	0	0	0
ENSMUSG00000051951.5	1	4	0	0	1	2	1	0
ENSMUSG00000102851.1	0	0	0	0	0	0	0	0
ENSMUSG00000103377.1	0	0	0	0	0	1	0	0
ENSMUSG00000104017.1	0	0	0	0	0	0	0	0
ENSMUSG00000103025.1	0	0	0	0	0	0	1	0
ENSMUSG00000089699.1	0	0	0	0	0	0	0	0
ENSMUSG00000103201.1	0	0	0	0	0	0	1	0
ENSMUSG00000103147.1	0	0	0	0	1	2	1	0
ENSMUSG00000103161.1	0	0	0	0	0	0	0	1
ENSMUSG00000102331.1	0	0	0	0	0	0	3	0
ENSMUSG00000102348.1	0	0	0	0	0	0	0	0
ENSMUSG00000102592.1	1	0	1	0	0	0	0	0
ENSMUSG00000088333.2	0	0	0	0	0	0	0	0
ENSMUSG00000102343.1	0	0	0	0	0	0	0	0
ENSMUSG00000025900.12	72	45	25	23	22	24	31	41
ENSMUSG00000102948.1	1	2	1	4	1	3	0	0
ENSMUSG00000104123.1	0	1	0	0	0	2	0	0
ENSMUSG00000025902.13	26312	43332	28408	35650	26981	24275	25036	23145
ENSMUSG00000104238.1	134	245	203	163	126	181	176	150
ENSMUSG00000102269.1	93	79	77	63	42	114	90	94
ENSMUSG00000096126.1	0	1	1	0	1	0	0	1
ENSMUSG00000103003.1	0	1	0	0	0	0	0	0
ENSMUSG00000104328.1	8	4	3	10	7	13	9	9
ENSMUSG00000102735.1	3	1	1	2	1	0	0	1
ENSMUSG00000098104.1	13	13	9	16	17	13	12	4
ENSMUSG00000102175.1	1	0	1	2	2	1	0	3
ENSMUSG00000088000.1	0	0	0	0	0	0	0	0
ENSMUSG00000103265.1	2	3	1	4	1	2	2	1
ENSMUSG00000103922.1	15	14	10	13	11	14	16	15
ENSMUSG00000033845.13	1342	1278	1207	1172	1131	1110	1084	1232
ENSMUSG00000102275.1	0	3	3	1	1	0	2	2
ENSMUSG00000025903.14	1627	1654	1326	1281	1303	1256	1422	1214
ENSMUSG00000104217.1	0	0	0	0	0	0	0	0
ENSMUSG00000033813.15	573	556	596	580	447	544	566	522
ENSMUSG00000062588.4	3	2	0	0	0	0	1	1
ENSMUSG00000103280.1	18	6	11	7	9	15	20	11
ENSMUSG00000002459.17	13	14	10	5	8	9	5	9
ENSMUSG00000091305.1	0	1	0	0	0	0	0	0
ENSMUSG00000102653.1	7	0	1	0	2	8	11	2
ENSMUSG00000085623.1	0	0	0	0	1	0	0	1
ENSMUSG00000091665.1	0	0	0	0	0	0	0	0
ENSMUSG00000033793.12	4399	3927	3562	3522	3591	3471	3401	3633
ENSMUSG00000104352.1	0	0	0	0	0	0	0	0
ENSMUSG00000104046.1	0	0	0	0	0	0	0	0
ENSMUSG00000102907.1	0	0	0	0	0	1	1	0
ENSMUSG00000025905.13	0	4	0	0	0	1	0	0
ENSMUSG00000103936.1	0	0	0	0	0	0	0	0
ENSMUSG00000093015.1	0	0	0	0	0	0	0	0
ENSMUSG00000103519.1	0	0	0	0	0	0	0	0
ENSMUSG00000033774.4	0	0	0	0	1	0	1	1
ENSMUSG00000103090.1	0	0	0	0	1	1	0	0
ENSMUSG00000025907.14	4444	3793	3908	3714	3736	3833	3554	3713
ENSMUSG00000090031.2	153	162	132	159	109	113	120	121
ENSMUSG00000087247.3	1	0	0	0	0	0	0	1
ENSMUSG00000103355.1	1	0	0	0	1	0	0	0
ENSMUSG00000102706.1	0	0	0	0	0	0	0	0
ENSMUSG00000103845.1	1	0	1	0	0	2	2	1
ENSMUSG00000033740.17	0	0	2	0	0	4	1	0
ENSMUSG00000103329.2	0	0	0	0	0	0	0	0
ENSMUSG00000104385.1	0	0	1	0	1	0	0	0
ENSMUSG00000102135.1	2	0	1	0	0	1	0	1
ENSMUSG00000103282.1	0	0	0	0	0	0	0	0
ENSMUSG00000102534.1	0	0	0	0	0	0	0	0
ENSMUSG00000102213.1	0	0	0	0	0	0	0	0
ENSMUSG00000103629.1	0	0	0	0	0	1	0	0
ENSMUSG00000051285.17	3447	2678	2862	2344	2488	2757	3004	2871
ENSMUSG00000098201.1	1	0	0	1	0	1	1	1
ENSMUSG00000103509.1	28	48	43	38	28	34	35	16
ENSMUSG00000048538.7	16	6	16	10	12	15	17	12
ENSMUSG00000103709.1	0	0	0	0	0	0	0	0
ENSMUSG00000077244.1	0	0	0	0	0	0	0	0
ENSMUSG00000102768.1	0	0	0	0	1	0	0	0
ENSMUSG00000097797.6	2	1	4	0	0	1	1	4
ENSMUSG00000103498.1	0	0	0	0	0	0	0	0
ENSMUSG00000103067.1	1	0	0	0	0	0	1	0
ENSMUSG00000102320.1	0	0	0	0	0	0	0	0
ENSMUSG00000104226.1	0	0	0	0	0	0	0	0
ENSMUSG00000103903.1	0	0	0	0	0	0	0	0
ENSMUSG00000103557.1	0	0	0	0	0	0	0	0
ENSMUSG00000025909.16	10	12	151	26	19	4	3	1
ENSMUSG00000102647.1	0	0	0	0	0	0	0	0
ENSMUSG00000086235.1	0	0	0	1	0	1	0	0
ENSMUSG00000102253.1	0	1	0	0	1	0	1	0
ENSMUSG00000093970.1	0	0	0	0	0	0	0	0
ENSMUSG00000103884.1	0	0	2	0	0	0	0	0
ENSMUSG00000084353.1	0	0	0	0	0	0	0	0
ENSMUSG00000103933.1	1	1	1	2	3	1	0	9
ENSMUSG00000076135.1	0	0	0	0	0	0	0	0
ENSMUSG00000086195.1	0	0	0	0	0	0	0	0
ENSMUSG00000104504.1	0	0	0	0	0	0	0	0
ENSMUSG00000066693.2	1	0	0	0	0	0	0	0
ENSMUSG00000102316.1	0	0	0	1	0	1	0	0
ENSMUSG00000103819.1	0	0	0	0	0	0	0	0
ENSMUSG00000102871.1	0	0	4	0	0	2	0	0
ENSMUSG00000101571.2	0	0	0	0	0	0	0	0
ENSMUSG00000104428.1	0	0	0	0	0	0	0	0
ENSMUSG00000102272.1	0	0	0	0	0	0	0	0
ENSMUSG00000065625.1	0	0	0	0	0	0	0	0
ENSMUSG00000103411.1	0	0	0	1	3	0	1	1
ENSMUSG00000061024.8	1642	1714	1766	1729	1584	1394	1372	1487
ENSMUSG00000025911.14	77	50	22	44	39	75	43	68
ENSMUSG00000079671.8	393	231	63	167	205	357	272	338
ENSMUSG00000081441.3	0	1	0	2	0	1	2	1
ENSMUSG00000067879.3	22	20	4	7	15	38	20	17
ENSMUSG00000099827.1	0	0	0	0	0	1	0	2
ENSMUSG00000025912.16	33	64	42	59	32	47	37	50
ENSMUSG00000045210.8	2900	2903	2662	2507	2334	2420	2299	2226
ENSMUSG00000097893.8	4	1	5	5	5	6	3	3
ENSMUSG00000025915.14	1553	1426	1803	1298	1330	1459	1557	1510
