sample	tissue	condition	strandedness	age
VascAge_AA67-L7	l-d0-1	d0-lung	none	young
VascAge_AA67-L8	l-d0-2	d0-lung	none	young
VascAge_AA67-L9	l-d0-3	d0-lung	none	young
VascAge_AA67-L10	l-d0-4	d0-lung	none	young
VascAge_AA67-L2	l-d15-1	d15-lung	none	young
VascAge_AA67-L3	l-d15-2	d15-lung	none	young
VascAge_AA67-L4	l-d15-3	d15-lung	none	young
VascAge_AA67-L5	l-d15-4	d15-lung	none	young
VascAge_AA67-L13	l-d22-1	d22-lung	none	young
VascAge_AA67-L15	l-d22-2	d22-lung	none	young
VascAge_AA67-L16	l-d22-3	d22-lung	none	young
VascAge_AA67-L18	l-d22-4	d22-lung	none	young
VascAge_AA67-L23	l-d36-1	d36-lung	none	young
VascAge_AA67-L24	l-d36-2	d36-lung	none	young
VascAge_AA67-L25	l-d36-3	d36-lung	none	young
VascAge_AA67-L26	l-d36-4	d36-lung	none	young
VascAge_AA67-L27	l-d36-5	d36-lung	none	young
VascAge_AA67-L28	l-d36-6	d36-lung	none	young
VascAge_AA67-L19	l-18m-1	18m-lung	none	aged
VascAge_AA67-L20	l-18m-2	18m-lung	none	aged
VascAge_AA67-L21	l-18m-3	18m-lung	none	aged
VascAge_AA67-L22	l-18m-4	18m-lung	none	aged
