[2024-02-13 16:04:29] [INFO]    [OmnipathR] Welcome to OmnipathR!
[2024-02-13 16:04:29] [TRACE]   [OmnipathR] Reading JSON from `/home/heyer/.cache/OmnipathR/cache.json` (encoding: UTF-8).
[2024-02-13 16:04:30] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2024-02-13 16:04:30] [INFO]    [OmnipathR] Initialized cache: `/home/heyer/.cache/OmnipathR`.
[2024-02-13 16:04:30] [TRACE]   [OmnipathR] Reading JSON from `/omics/groups/OE0436/internal/heyer/R_lib/OmnipathR/db/db_def.json` (encoding: UTF-8).
[2024-02-13 16:04:30] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2024-02-13 16:04:30] [TRACE]   [OmnipathR] Reading JSON from `/omics/groups/OE0436/internal/heyer/R_lib/OmnipathR/internal/magic_bytes.json` (encoding: UTF-8).
[2024-02-13 16:04:30] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2024-02-13 16:04:30] [TRACE]   [OmnipathR] Reading JSON from `/omics/groups/OE0436/internal/heyer/R_lib/OmnipathR/internal/urls.json` (encoding: UTF-8).
[2024-02-13 16:04:31] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2024-02-13 16:04:31] [TRACE]   [OmnipathR] Reading JSON from `/omics/groups/OE0436/internal/heyer/R_lib/OmnipathR/internal/id_types.json` (encoding: UTF-8).
[2024-02-13 16:04:31] [TRACE]   [OmnipathR] JSON validation successful: TRUE
